# Amal's vocabulary Doc (docs/data/words.json) - english | her arabizi | arabic | key
(local) trip / outing / flight | Re7le | رحلة | re7le
(travel) trip | Safra | سفرة | safra
a bedroom | 8urfet noam | غرفة نوم | 8urfet noam
a bit ago / before a bit | 2abel shwai | قبل شوي | 2abel shwai
a bit more / in a little bit | Kaman Shwai | كمان شوي | kaman shwai
a dish / a meal | Akle | أكلة | akle
a group of people | Jamaa3a | جماعة | jamA3a
a hundred | meyyah | مية | meiyah
a hundred and eleven | meyyah u e7da3sh | مية و إحداعش | meiyah u e7da3sh
a lie | Kezbe | كذبة | kezbe
a little / a bit | Shwai | شوي | shwai
a little / few | Qaleel | قليل | 2alIl
a loaf of bread | 5ubza | خبزة | 5ubza
a long time ago | Min zamaan | من زمان | min zamAn
a lot / very / much | Kteer | كتير | ktIr
about | 3an | عن | 3an
accident – accidents | 7aades | حادث | 7Ades
accidentally | Bil8ala6 | بالغلط | bil8ala6
accountant | Mu7aaseb | محاسب | mu7Aseb
across | Qbaal | قبال | 2bAl
address | 3enwaan | عنوان | 3enwAn
adjective – adjectives / trait – traits | Sifa | صفة | sifa
adverb – adverbs / circumstance – circumstances | Zarf | ظرف | zarf
after | Ba3ed | بعد | ba3ed
afternoon | el-3aser | العصر | al3aser
agitated / grumpy | Mnarfez | منرفز | mnarfez
air / wind / wind / air | Hawa | هوا | hawa
airplane / flight | 6ayyaara | طيارة | 6aiyAra
airport | Ma6aar | مطار | ma6Ar
all / every / every / all | Kul | كل | kul
all / everyone | Elkul | الكل | alkul
almond | Loz | لوز | loz
almost / almost / approximately | taqreeban | تقريباً | ta2rIban
alone / on one's own / a lone / on its own | La7aal | لحال | la7Al
also / more / too | Kamaan | كمان | kamAn
always | Daayman | دايماً | dAiman
amazing / insane / make someone crazy | beyjannen | بيجنن | beijanen
american | Amriki | أمريكي | amriki
an egg | baida | بيضة | baida
and | U | و | u
and you? (female) | u enti? | و انتِ؟ | u enti
and you? (male) | u enta? | و انت؟ | u enta
angry | M3asseb | معصب | m3aseb
animal | 7aywaan | حيوان | 7aiwAn
annoyed | Maz3ooj | مزعوج | maz3Uj
annoying | Muz3ej | مزعج | muz3ej
answer | Jaawweb | جاوب | jAweb
ant | Namle | نملة | namle
ants (general) | Namel | نمل | namel
any / which | Ay | أي | ai
any day | Ay yoam | أي يوم | ai yoam
anyone | Ay 7ada | أي حدا | ai 7ada
anything | Ay eshi | أي اشي | ai eshi
apple | Tuffa7 | تفاح | tufa7
appointment (time) | Maw3ed | موعد | maw3ed
apricot | Meshmesh | مشمش | meshmesh
arabic / arab | 3arabi | عربي | 3arabi
around / approximately / around / about | 7awaali | حوالي | 7awAli
around / surrounding | 7awaalain | حوالين | 7awAlain
around / surrounding | 7awalain | حوالين | 7awalain
ask | Es2al | اسأل | es2al
ask (question) | Ana bas2al | أنا بسأل | ana bas2al
assume | Zonn | ظن | zon
at 1:00 | 3ala elsaa3a wa7de | على الساعة وحدة | 3ala alsA3a wa7de
at 2:00 | 3ala elsaa3a tentain | على الساعة تنتين | 3ala alsA3a tentain
at night | billail | بالليل | bilail
at the end of the year | 2aa5er el-sane | آخر السنة | 2A5er alsane
at what time? | Ay saa3a? | أي ساعة؟ | ai sA3a
atmosphere / ambience / overall vibe | Ajwaa2 | أجواء | ajwA2
aunt (maternal) | 5aaleh | خالة | 5Aleh
aunt (paternal) | 3ammeh | عمة | 3ameh
